# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|31|89,106,99,118,34,111,99,109,103,117,34,118,106,107,117,34,116,103,99,110,34,107,112,104,103,116,103,112,101,103,65|8|34:107622,0:58718,114:53475,110:41271,89:41175,75:29336,47:28584,123:27843
P|what_makes_this_real_inf|embedding|48|8|0:-3236,1:7571,2:803,3:10239,4:-1120,5:1049,6:685,7:6420
P|what_makes_this_real_inf|ln1|48|8|0:-7524,1:7865,2:-5094,3:7564,4:2056,5:-182,6:844,7:14554
P|what_makes_this_real_inf|q|48|8|0:-10468,1:6344,2:-8518,3:4032,4:6135,5:-11669,6:10641,7:16818
P|what_makes_this_real_inf|k|48|8|0:13885,1:-7688,2:4593,3:7517,4:-6598,5:3861,6:1163,7:-7661
P|what_makes_this_real_inf|v|48|8|0:5097,1:5257,2:11019,3:-3488,4:-9993,5:1531,6:15750,7:-4174
P|what_makes_this_real_inf|attn|48|8|0:4420,1:1095,2:4605,3:-5635,4:7516,5:-10406,6:4107,7:2798
P|what_makes_this_real_inf|proj|48|8|0:206,1:2399,2:5184,3:-7730,4:-7743,5:-8895,6:-13506,7:-7577
P|what_makes_this_real_inf|ln2|48|8|0:-10100,1:15128,2:-4108,3:7807,4:-2963,5:-7673,6:-7674,7:15068
P|what_makes_this_real_inf|ff1|192|8|0:5341,1:-143,2:6264,3:-246,4:6739,5:72,6:3143,7:4453
P|what_makes_this_real_inf|ff2|48|8|0:3600,1:4799,2:-4905,3:-2214,4:9945,5:21808,6:-11043,7:-9759
P|what_makes_this_real_inf|hidden|48|8|0:-11580,1:24599,2:-9858,3:8972,4:7250,5:12482,6:-21912,7:11630
P|what_makes_this_real_inf|final_ln|48|8|0:-12421,1:21505,2:-8753,3:7875,4:5058,5:11459,6:-22152,7:13474
P|what_makes_this_real_inf|logits|258|8|34:107622,0:58718,114:53475,110:41271,89:41175,75:29336,47:28584,123:27843
V|gpt2_basic_on_a_486|19|73,82,86,52,34,68,67,85,75,69,34,113,112,34,99,34,54,58,56|8|34:135210,99:63711,46:61070,47:59684,87:59245,82:42394,107:34973,48:31661
P|gpt2_basic_on_a_486|embedding|48|8|0:-1648,1:8859,2:2537,3:11010,4:-509,5:2533,6:1577,7:1005
