# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|31|89,106,99,118,34,111,99,109,103,117,34,118,106,107,117,34,116,103,99,110,34,107,112,104,103,116,103,112,101,103,65|8|34:141002,109:42824,75:32719,0:29536,71:29137,124:21531,86:20963,87:19818
P|what_makes_this_real_inf|embedding|48|8|0:1242,1:7735,2:756,3:9711,4:-139,5:3144,6:-392,7:2716
P|what_makes_this_real_inf|ln1|48|8|0:-3128,1:5281,2:-5988,3:7031,4:-986,5:-1545,6:-456,7:4176
P|what_makes_this_real_inf|q|48|8|0:-16901,1:4946,2:-1233,3:16173,4:10836,5:-13433,6:-5954,7:4598
P|what_makes_this_real_inf|k|48|8|0:7018,1:-2919,2:-5812,3:4351,4:-3261,5:11088,6:2834,7:-7007
P|what_makes_this_real_inf|v|48|8|0:6111,1:6199,2:5518,3:4240,4:-13488,5:5456,6:4947,7:-8606
P|what_makes_this_real_inf|attn|48|8|0:4667,1:11172,2:360,3:2749,4:-4963,5:95,6:-1784,7:-2325
P|what_makes_this_real_inf|proj|48|8|0:3068,1:8249,2:-1737,3:-12952,4:5756,5:1007,6:1355,7:-7230
P|what_makes_this_real_inf|ln2|48|8|0:-1679,1:14127,2:-11846,3:1014,4:3437,5:-1344,6:1710,7:736
P|what_makes_this_real_inf|ff1|192|8|0:0,1:1955,2:117,3:-530,4:4127,5:6688,6:-693,7:1582
P|what_makes_this_real_inf|ff2|48|8|0:-8076,1:-5018,2:4521,3:5043,4:2342,5:21845,6:-21492,7:4425
P|what_makes_this_real_inf|hidden|48|8|0:-10485,1:13205,2:-11527,3:6256,4:7185,5:19971,6:-19922,7:4975
P|what_makes_this_real_inf|final_ln|48|8|0:-8915,1:11326,2:-7588,3:5724,4:4063,5:17754,6:-17666,7:6687
P|what_makes_this_real_inf|logits|258|8|34:141002,109:42824,75:32719,0:29536,71:29137,124:21531,86:20963,87:19818
V|gpt2_basic_on_a_486|19|73,82,86,52,34,68,67,85,75,69,34,113,112,34,99,34,54,58,56|8|34:90247,46:57926,48:42465,101:38703,104:33105,100:31016,82:30770,47:30643
P|gpt2_basic_on_a_486|embedding|48|8|0:-7598,1:11057,2:5725,3:8969,4:-567,5:4509,6:-274,7:3741
P|gpt2_basic_on_a_486|ln1|48|8|0:-4322,1:2353,2:-698,3:-2433,4:-1386,5:-3294,6:4119,7:6561
P|gpt2_basic_on_a_486|q|48|8|0:-9092,1:4314,2:-7770,3:10320,4:7430,5:-9569,6:-3313,7:8325
P|gpt2_basic_on_a_486|k|48|8|0:12089,1:-1675,2:-10593,3:-1064,4:-9487,5:11012,6:6391,7:-13460
P|gpt2_basic_on_a_486|v|48|8|0:11152,1:-835,2:-445,3:-2504,4:-16002,5:6318,6:827,7:-2762
P|gpt2_basic_on_a_486|attn|48|8|0:4588,1:5094,2:720,3:-391,4:-7287,5:-390,6:1431,7:-1033
P|gpt2_basic_on_a_486|proj|48|8|0:1490,1:9360,2:4803,3:-839,4:1231,5:1898,6:-9727,7:-1533
P|gpt2_basic_on_a_486|ln2|48|8|0:-5314,1:11827,2:1243,3:-5252,4:-961,5:-4875,6:-1274,7:9034
P|gpt2_basic_on_a_486|ff1|192|8|0:-32,1:13894,2:14430,3:7778,4:-697,5:-683,6:-632,7:5245
P|gpt2_basic_on_a_486|ff2|48|8|0:4711,1:-6388,2:-6761,3:9785,4:1871,5:11235,6:-2085,7:-9039
P|gpt2_basic_on_a_486|hidden|48|8|0:-1475,1:6980,2:-4062,3:4373,4:1397,5:6514,6:-3529,7:1410
P|gpt2_basic_on_a_486|final_ln|48|8|0:-2304,1:8154,2:-4459,3:5470,4:153,5:7904,6:-4545,7:3612
P|gpt2_basic_on_a_486|logits|258|8|34:90247,46:57926,48:42465,101:38703,104:33105,100:31016,82:30770,47:30643
V|dos_language_models_need|24|70,81,85,34,110,99,112,105,119,99,105,103,34,111,113,102,103,110,117,34,112,103,103,102|8|117:94304,34:71936,107:53005,113:46396,102:38779,99:34659,112:26927,110:22476
P|dos_language_models_need|embedding|48|8|0:2007,1:-7382,2:3898,3:5066,4:5991,5:7095,6:751,7:-3230
P|dos_language_models_need|ln1|48|8|0:-1148,1:-6862,2:1374,3:7463,4:-6259,5:316,6:8132,7:6295
P|dos_language_models_need|q|48|8|0:-5179,1:13921,2:2809,3:722,4:8098,5:-6399,6:-4167,7:12457
P|dos_language_models_need|k|48|8|0:12462,1:-1773,2:-11713,3:3270,4:-15867,5:10353,6:3081,7:-15787
P|dos_language_models_need|v|48|8|0:8759,1:7410,2:6719,3:2171,4:1655,5:-1472,6:-2572,7:4125
P|dos_language_models_need|attn|48|8|0:1800,1:6201,2:1251,3:971,4:-2242,5:-2790,6:-5701,7:483
P|dos_language_models_need|proj|48|8|0:1989,1:7008,2:7484,3:-12379,4:2655,5:-88,6:-6938,7:5884
P|dos_language_models_need|ln2|48|8|0:5,1:-6259,2:6304,3:1762,4:-7243,5:852,6:6694,7:12998
P|dos_language_models_need|ff1|192|8|0:-139,1:22173,2:4298,3:13152,4:-68,5:-176,6:4603,7:3276
P|dos_language_models_need|ff2|48|8|0:14104,1:10589,2:-2715,3:4045,4:-4448,5:-2309,6:-18183,7:-8170
P|dos_language_models_need|hidden|48|8|0:15123,1:3621,2:7800,3:7052,4:-13612,5:-613,6:-9169,7:9802
P|dos_language_models_need|final_ln|48|8|0:14651,1:361,2:4036,3:5437,4:-16498,5:-4528,6:-14733,7:10753
P|dos_language_models_need|logits|258|8|117:94304,34:71936,107:53005,113:46396,102:38779,99:34659,112:26927,110:22476
