# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# tokenizer=bpe vocab=384 merges=126
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|19|89,106,364,111,99,109,103,117,317,326,272,333,260,104,269,268,101,103,65|8|34:80013,282:69169,259:51210,117:42393,0:35825,368:34632,47:34577,107:32258
P|what_makes_this_real_inf|embedding|48|8|0:-1532,1:4556,2:-1857,3:7995,4:2608,5:-11,6:3053,7:7969
P|what_makes_this_real_inf|ln1|48|8|0:702,1:6261,2:-9947,3:3958,4:1880,5:7507,6:5256,7:2921
P|what_makes_this_real_inf|q|48|8|0:-7652,1:3380,2:-9204,3:2764,4:-402,5:18735,6:4076,7:-6111
P|what_makes_this_real_inf|k|48|8|0:3383,1:-20256,2:12148,3:-889,4:3219,5:-15014,6:-14385,7:7788
P|what_makes_this_real_inf|v|48|8|0:-92,1:2692,2:-6623,3:9590,4:7486,5:-8014,6:4262,7:4719
P|what_makes_this_real_inf|attn|48|8|0:-4236,1:-7192,2:3982,3:-7469,4:651,5:-9745,6:-2758,7:7460
P|what_makes_this_real_inf|proj|48|8|0:2747,1:5118,2:5389,3:-2474,4:11676,5:5140,6:-19161,7:2152
P|what_makes_this_real_inf|ln2|48|8|0:3247,1:12142,2:-9055,3:3438,4:12663,5:15633,6:-8894,7:6645
P|what_makes_this_real_inf|ff1|192|8|0:-111,1:0,2:7021,3:-458,4:-60,5:0,6:11924,7:-703
P|what_makes_this_real_inf|ff2|48|8|0:-4020,1:-860,2:-6024,3:-118,4:-8648,5:-4592,6:13802,7:-19455
P|what_makes_this_real_inf|hidden|48|8|0:1654,1:15679,2:-14421,3:5770,4:7785,5:13346,6:5569,7:-10744
P|what_makes_this_real_inf|final_ln|48|8|0:777,1:17103,2:-20717,3:5394,4:4428,5:13987,6:5303,7:-16316
P|what_makes_this_real_inf|logits|384|8|34:80013,282:69169,259:51210,117:42393,0:35825,368:34632,47:34577,107:32258
V|gpt2_basic_on_a_486|9|363,34,375,34,264,34,310,54,381|8|34:66551,259:65472,85:64477,102:60520,70:51192,47:50324,67:44255,48:44062
P|gpt2_basic_on_a_486|embedding|48|8|0:-11951,1:4001,2:12655,3:-1914,4:-3979,5:5464,6:1808,7:669
P|gpt2_basic_on_a_486|ln1|48|8|0:4304,1:7405,2:-603,3:1335,4:-247,5:9019,6:4941,7:68
P|gpt2_basic_on_a_486|q|48|8|0:-1736,1:2964,2:8966,3:599,4:-142,5:13341,6:-5466,7:-161
P|gpt2_basic_on_a_486|k|48|8|0:6710,1:-15494,2:14373,3:-2734,4:1893,5:-10558,6:-21678,7:13962
P|gpt2_basic_on_a_486|v|48|8|0:-1160,1:4137,2:2813,3:2784,4:2158,5:-4911,6:-534,7:7125
P|gpt2_basic_on_a_486|attn|48|8|0:5002,1:-8289,2:1030,3:915,4:2305,5:-2148,6:-1152,7:3483
P|gpt2_basic_on_a_486|proj|48|8|0:-8767,1:-4940,2:7824,3:-7198,4:1748,5:2569,6:-12459,7:5879
P|gpt2_basic_on_a_486|ln2|48|8|0:-1082,1:6378,2:4933,3:-3921,4:975,5:17437,6:-2521,7:6133
P|gpt2_basic_on_a_486|ff1|192|8|0:-32,1:-512,2:2411,3:-257,4:0,5:-703,6:22441,7:5856
P|gpt2_basic_on_a_486|ff2|48|8|0:9382,1:762,2:-18651,3:-5750,4:-3810,5:-21508,6:3860,7:-17089
P|gpt2_basic_on_a_486|hidden|48|8|0:9354,1:9235,2:-11244,3:-9433,4:-2146,5:-3546,6:1735,7:-10123
P|gpt2_basic_on_a_486|final_ln|48|8|0:8300,1:8962,2:-15352,3:-10735,4:-5479,5:-4084,6:1304,7:-13969
P|gpt2_basic_on_a_486|logits|384|8|34:66551,259:65472,85:64477,102:60520,70:51192,47:50324,67:44255,48:44062
V|dos_language_models_need|15|359,34,110,270,105,119,99,105,258,340,110,266,112,103,279|8|34:56028,351:55324,282:49386,379:37651,101:33564,118:32481,106:28027,46:27481
P|dos_language_models_need|embedding|48|8|0:-2357,1:3329,2:-2150,3:4082,4:4618,5:-3638,6:-4668,7:7405
P|dos_language_models_need|ln1|48|8|0:1832,1:-1169,2:-3710,3:3669,4:-647,5:-2233,6:4474,7:1480
P|dos_language_models_need|q|48|8|0:-12976,1:-6376,2:-11526,3:3439,4:4354,5:5775,6:7166,7:-19547
P|dos_language_models_need|k|48|8|0:10478,1:-17089,2:9217,3:7313,4:-1585,5:-12991,6:-18913,7:15194
P|dos_language_models_need|v|48|8|0:4295,1:-6337,2:-233,3:2999,4:8476,5:3324,6:-646,7:3749
P|dos_language_models_need|attn|48|8|0:2638,1:-5375,2:2580,3:2006,4:667,5:-4627,6:-2371,7:6816
P|dos_language_models_need|proj|48|8|0:-4334,1:445,2:1790,3:-2323,4:9049,5:-703,6:-8586,7:58
P|dos_language_models_need|ln2|48|8|0:-3494,1:-2865,2:-6249,3:3939,4:11338,5:-7322,6:-3268,7:3230
P|dos_language_models_need|ff1|192|8|0:17555,1:-143,2:-357,3:3581,4:-449,5:-377,6:-51,7:2484
P|dos_language_models_need|ff2|48|8|0:1317,1:7152,2:8194,3:3178,4:-2272,5:16610,6:8771,7:-3201
P|dos_language_models_need|hidden|48|8|0:1619,1:7906,2:6820,3:8146,4:7317,5:15011,6:8916,7:962
P|dos_language_models_need|final_ln|48|8|0:763,1:10966,2:6038,3:11096,4:6274,5:21623,6:12008,7:-2806
P|dos_language_models_need|logits|384|8|34:56028,351:55324,282:49386,379:37651,101:33564,118:32481,106:28027,46:27481
