# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|31|89,106,99,118,34,111,99,109,103,117,34,118,106,107,117,34,116,103,99,110,34,107,112,104,103,116,103,112,101,103,65|8|34:117301,75:77261,87:64749,89:52953,86:52888,90:52239,47:52024,80:49275
P|what_makes_this_real_inf|embedding|48|8|0:-3000,1:9444,2:220,3:11068,4:-129,5:642,6:288,7:6805
P|what_makes_this_real_inf|ln1|48|8|0:-2509,1:6753,2:-3669,3:5770,4:1855,5:-1259,6:-2930,7:10868
P|what_makes_this_real_inf|q|48|8|0:-10096,1:6430,2:4723,3:10074,4:11590,5:-9111,6:9645,7:20862
P|what_makes_this_real_inf|k|48|8|0:7483,1:-7004,2:-17403,3:4536,4:-4652,5:7415,6:-1552,7:-3572
P|what_makes_this_real_inf|v|48|8|0:-1799,1:2128,2:13299,3:1288,4:-5445,5:283,6:15949,7:-9715
P|what_makes_this_real_inf|attn|48|8|0:-521,1:2561,2:11812,3:1425,4:-3003,5:-2053,6:12325,7:-6109
P|what_makes_this_real_inf|proj|48|8|0:1400,1:5863,2:2090,3:-9828,4:836,5:-622,6:-10977,7:-9128
P|what_makes_this_real_inf|ln2|48|8|0:-2231,1:15104,2:-5778,3:2334,4:3761,5:-2763,6:-10896,7:9399
P|what_makes_this_real_inf|ff1|192|8|0:2294,1:-124,2:16444,3:-691,4:4859,5:-117,6:3674,7:1707
P|what_makes_this_real_inf|ff2|48|8|0:-6291,1:-15961,2:1915,3:-1865,4:7178,5:12510,6:-5411,7:-12522
P|what_makes_this_real_inf|hidden|48|8|0:-8939,1:4464,2:-4309,3:1426,4:12394,5:9626,6:-20270,7:-687
P|what_makes_this_real_inf|final_ln|48|8|0:-16503,1:5423,2:-6522,3:2607,4:14263,5:14488,6:-34622,7:-154
P|what_makes_this_real_inf|logits|258|8|34:117301,75:77261,87:64749,89:52953,86:52888,90:52239,47:52024,80:49275
V|gpt2_basic_on_a_486|19|73,82,86,52,34,68,67,85,75,69,34,113,112,34,99,34,54,58,56|8|34:141575,46:82817,47:63768,71:61947,52:51784,106:46982,90:45460,0:38208
P|gpt2_basic_on_a_486|embedding|48|8|0:-5804,1:10493,2:1508,3:9182,4:638,5:3967,6:1856,7:3962
P|gpt2_basic_on_a_486|ln1|48|8|0:-6317,1:2453,2:-486,3:3306,4:3185,5:263,6:3143,7:2419
P|gpt2_basic_on_a_486|q|48|8|0:-15718,1:2059,2:3876,3:11950,4:8729,5:-13448,6:2445,7:16783
P|gpt2_basic_on_a_486|k|48|8|0:9910,1:-4725,2:-10198,3:6179,4:-12253,5:10173,6:-5602,7:-8530
P|gpt2_basic_on_a_486|v|48|8|0:10072,1:3090,2:6121,3:-4367,4:-7436,5:1294,6:15308,7:-4828
P|gpt2_basic_on_a_486|attn|48|8|0:5327,1:3990,2:3520,3:-517,4:-2525,5:-5244,6:9539,7:-6264
P|gpt2_basic_on_a_486|proj|48|8|0:3058,1:1833,2:2453,3:-12596,4:-8769,5:3249,6:-17156,7:-20
P|gpt2_basic_on_a_486|ln2|48|8|0:-6372,1:5769,2:-55,3:-3816,4:-2596,5:3164,6:-8849,7:4142
P|gpt2_basic_on_a_486|ff1|192|8|0:11215,1:11195,2:5698,3:7959,4:-574,5:-160,6:6911,7:8471
P|gpt2_basic_on_a_486|ff2|48|8|0:-1870,1:-12378,2:1119,3:6747,4:-155,5:11362,6:-9883,7:424
P|gpt2_basic_on_a_486|hidden|48|8|0:-9561,1:-5298,2:2087,3:1781,4:-2185,5:15770,6:-20983,7:5288
P|gpt2_basic_on_a_486|final_ln|48|8|0:-14993,1:-9291,2:374,3:2442,4:-4290,5:19614,6:-29776,7:8038
P|gpt2_basic_on_a_486|logits|258|8|34:141575,46:82817,47:63768,71:61947,52:51784,106:46982,90:45460,0:38208
V|dos_language_models_need|24|70,81,85,34,110,99,112,105,119,99,105,103,34,111,113,102,103,110,117,34,112,103,103,102|8|117:123441,48:94315,34:83726,107:55632,47:52149,102:46367,90:43059,103:37632
P|dos_language_models_need|embedding|48|8|0:1825,1:-7964,2:4865,3:4589,4:6556,5:7934,6:1016,7:-4490
P|dos_language_models_need|ln1|48|8|0:-2306,1:-5549,2:-3456,3:3002,4:-3559,5:6577,6:2963,7:8358
P|dos_language_models_need|q|48|8|0:-4539,1:1544,2:-6534,3:-3561,4:9459,5:-10204,6:724,7:20650
P|dos_language_models_need|k|48|8|0:14637,1:-3814,2:-13168,3:5557,4:-8736,5:9652,6:49,7:-16348
P|dos_language_models_need|v|48|8|0:14533,1:-970,2:396,3:914,4:-1045,5:-2346,6:9316,7:6604
P|dos_language_models_need|attn|48|8|0:-3933,1:2239,2:10067,3:1801,4:7004,5:-8471,6:-2202,7:2762
P|dos_language_models_need|proj|48|8|0:8933,1:5717,2:12471,3:-10065,4:-109,5:195,6:-11438,7:-11065
P|dos_language_models_need|ln2|48|8|0:3049,1:-4466,2:2075,3:-1770,4:-6817,5:11596,6:-3571,7:4068
P|dos_language_models_need|ff1|192|8|0:6865,1:-659,2:5230,3:-81,4:-256,5:4347,6:11730,7:10123
P|dos_language_models_need|ff2|48|8|0:8094,1:6464,2:3448,3:7446,4:6911,5:-1254,6:10263,7:7193
P|dos_language_models_need|hidden|48|8|0:13438,1:804,2:7996,3:5304,4:29,5:16029,6:5392,7:13261
P|dos_language_models_need|final_ln|48|8|0:20385,1:-1832,2:7084,3:5738,4:-2693,5:23574,6:7949,7:22076
P|dos_language_models_need|logits|258|8|117:123441,48:94315,34:83726,107:55632,47:52149,102:46367,90:43059,103:37632
