# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|31|89,106,99,118,34,111,99,109,103,117,34,118,106,107,117,34,116,103,99,110,34,107,112,104,103,116,103,112,101,103,65|8|34:149943,0:88577,71:62817,47:59613,117:50479,65:40727,114:35461,48:34867
P|what_makes_this_real_inf|embedding|48|8|0:-859,1:6452,2:2403,3:11070,4:-919,5:1662,6:-285,7:7361
P|what_makes_this_real_inf|ln1|48|8|0:-1504,1:4791,2:-2835,3:9075,4:-1389,5:1017,6:3948,7:8083
P|what_makes_this_real_inf|q|48|8|0:-26778,1:7246,2:9580,3:6400,4:10319,5:3148,6:9755,7:13855
P|what_makes_this_real_inf|k|48|8|0:3840,1:-5981,2:-7277,3:5661,4:-2954,5:8406,6:10377,7:-9682
P|what_makes_this_real_inf|v|48|8|0:6602,1:-1290,2:5359,3:2412,4:-9561,5:5190,6:9200,7:-1047
P|what_makes_this_real_inf|attn|48|8|0:5906,1:-713,2:4610,3:278,4:-7850,5:3420,6:8272,7:-430
P|what_makes_this_real_inf|proj|48|8|0:-489,1:-4896,2:-1029,3:4114,4:790,5:-2813,6:-10830,7:300
P|what_makes_this_real_inf|ln2|48|8|0:-1405,1:3554,2:-6215,3:16198,4:-1311,5:-177,6:-1106,7:11421
P|what_makes_this_real_inf|ff1|192|8|0:-107,1:14674,2:14886,3:775,4:0,5:1900,6:-574,7:-605
P|what_makes_this_real_inf|ff2|48|8|0:2777,1:-4312,2:7427,3:-25003,4:-1982,5:18644,6:-16035,7:9490
P|what_makes_this_real_inf|hidden|48|8|0:311,1:817,2:-982,3:-117,4:-3724,5:18764,6:-18883,7:25626
P|what_makes_this_real_inf|final_ln|48|8|0:84,1:55,2:-1278,3:1831,4:-4597,5:23891,6:-21819,7:32631
P|what_makes_this_real_inf|logits|258|8|34:149943,0:88577,71:62817,47:59613,117:50479,65:40727,114:35461,48:34867
V|gpt2_basic_on_a_486|19|73,82,86,52,34,68,67,85,75,69,34,113,112,34,99,34,54,58,56|8|34:127239,65:98194,48:90679,46:86332,89:60888,90:59346,72:59327,104:57683
P|gpt2_basic_on_a_486|embedding|48|8|0:-1247,1:4961,2:4809,3:10585,4:2094,5:3805,6:2464,7:6414
P|gpt2_basic_on_a_486|ln1|48|8|0:-5565,1:2219,2:225,3:3985,4:2939,5:-1101,6:3625,7:4521
P|gpt2_basic_on_a_486|q|48|8|0:-20177,1:9021,2:9506,3:7091,4:8838,5:-3052,6:7386,7:18408
P|gpt2_basic_on_a_486|k|48|8|0:5816,1:-7290,2:-11132,3:-445,4:-11820,5:2914,6:4846,7:-15204
P|gpt2_basic_on_a_486|v|48|8|0:14579,1:-3433,2:1619,3:3715,4:-2963,5:-3935,6:8040,7:-1720
P|gpt2_basic_on_a_486|attn|48|8|0:6339,1:-2914,2:1287,3:-1506,4:197,5:-5330,6:-1197,7:-3632
P|gpt2_basic_on_a_486|proj|48|8|0:4364,1:5725,2:2766,3:-6537,4:-5834,5:-964,6:-20629,7:3590
P|gpt2_basic_on_a_486|ln2|48|8|0:-3893,1:8152,2:1000,3:3507,4:1200,5:-2759,6:-8121,7:10725
P|gpt2_basic_on_a_486|ff1|192|8|0:-399,1:11664,2:-415,3:6437,4:-680,5:-158,6:3549,7:5271
P|gpt2_basic_on_a_486|ff2|48|8|0:-2816,1:-26154,2:-3396,3:-5500,4:15151,5:15559,6:-557,7:-992
