# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|31|89,106,99,118,34,111,99,109,103,117,34,118,106,107,117,34,116,103,99,110,34,107,112,104,103,116,103,112,101,103,65|8|34:71201,75:50213,0:38621,100:37562,111:37460,88:34335,50:33323,110:31885
P|what_makes_this_real_inf|embedding|48|8|0:-2303,1:8787,2:-38,3:10596,4:368,5:783,6:400,7:5719
P|what_makes_this_real_inf|ln1|48|8|0:-2176,1:9768,2:-9443,3:3790,4:2360,5:-4182,6:-692,7:5491
P|what_makes_this_real_inf|q|48|8|0:-15217,1:3282,2:4461,3:13621,4:13581,5:-16188,6:5503,7:20941
P|what_makes_this_real_inf|k|48|8|0:8051,1:-9501,2:-22030,3:2992,4:-4798,5:10423,6:-2507,7:-3048
P|what_makes_this_real_inf|v|48|8|0:2926,1:3417,2:12587,3:1965,4:-3636,5:-1049,6:10781,7:-5862
P|what_makes_this_real_inf|attn|48|8|0:2918,1:3404,2:12648,3:1286,4:-2738,5:-1757,6:10039,7:-4661
P|what_makes_this_real_inf|proj|48|8|0:4185,1:2610,2:1980,3:-10433,4:4072,5:2313,6:-8383,7:-3568
P|what_makes_this_real_inf|ln2|48|8|0:-402,1:19064,2:-17015,3:-737,4:7294,5:-6651,6:-6389,7:6117
P|what_makes_this_real_inf|ff1|192|8|0:-625,1:0,2:8795,3:-410,4:104,5:935,6:4033,7:4375
P|what_makes_this_real_inf|ff2|48|8|0:-645,1:-21763,2:2776,3:-4426,4:-2500,5:1642,6:3093,7:-6699
P|what_makes_this_real_inf|hidden|48|8|0:-112,1:3859,2:-16082,3:-4856,4:7592,5:-5593,6:-5263,7:1423
P|what_makes_this_real_inf|final_ln|48|8|0:-717,1:4024,2:-17427,3:-2764,4:6823,5:-8074,6:-6790,7:3477
P|what_makes_this_real_inf|logits|258|8|34:71201,75:50213,0:38621,100:37562,111:37460,88:34335,50:33323,110:31885
V|gpt2_basic_on_a_486|19|73,82,86,52,34,68,67,85,75,69,34,113,112,34,99,34,54,58,56|8|34:66462,47:64906,85:55322,46:55078,48:51297,117:48254,52:42377,70:37941
P|gpt2_basic_on_a_486|embedding|48|8|0:-5168,1:10665,2:2953,3:7143,4:961,5:4041,6:997,7:3864
P|gpt2_basic_on_a_486|ln1|48|8|0:-4920,1:8676,2:-2831,3:-2799,4:-21,5:2657,6:-256,7:2420
P|gpt2_basic_on_a_486|q|48|8|0:-10574,1:1669,2:-2844,3:13454,4:11738,5:-14275,6:5684,7:15734
P|gpt2_basic_on_a_486|k|48|8|0:7226,1:-8039,2:-18056,3:3864,4:-14975,5:15121,6:-3674,7:-11129
P|gpt2_basic_on_a_486|v|48|8|0:13949,1:3310,2:5535,3:1711,4:-13205,5:-91,6:8349,7:-1373
P|gpt2_basic_on_a_486|attn|48|8|0:2525,1:2441,2:8989,3:-3832,4:4350,5:-6850,6:8806,7:1014
P|gpt2_basic_on_a_486|proj|48|8|0:5399,1:1468,2:10787,3:-11313,4:-4918,5:2821,6:-11292,7:-1751
P|gpt2_basic_on_a_486|ln2|48|8|0:-3732,1:16369,2:1805,3:-12214,4:-5153,5:6856,6:-8354,7:2219
P|gpt2_basic_on_a_486|ff1|192|8|0:6297,1:6100,2:6553,3:2921,4:-464,5:6682,6:23283,7:-508
P|gpt2_basic_on_a_486|ff2|48|8|0:5201,1:-20057,2:-1145,3:3649,4:19741,5:-581,6:13162,7:2099
P|gpt2_basic_on_a_486|hidden|48|8|0:1738,1:1677,2:3205,3:-12073,4:15568,5:9685,6:2692,7:5899
P|gpt2_basic_on_a_486|final_ln|48|8|0:364,1:-428,2:1179,3:-8870,4:12840,5:10013,6:2775,7:7604
P|gpt2_basic_on_a_486|logits|258|8|34:66462,47:64906,85:55322,46:55078,48:51297,117:48254,52:42377,70:37941
V|dos_language_models_need|24|70,81,85,34,110,99,112,105,119,99,105,103,34,111,113,102,103,110,117,34,112,103,103,102|8|117:51719,46:42370,34:38350,48:37632,47:27651,60:26708,105:26360,102:24845
P|dos_language_models_need|embedding|48|8|0:1438,1:-7966,2:4616,3:4658,4:6449,5:8147,6:1171,7:-4303
P|dos_language_models_need|ln1|48|8|0:-3964,1:-529,2:-5881,3:1505,4:-4448,5:6651,6:4117,7:6651
P|dos_language_models_need|q|48|8|0:-6555,1:1882,2:-8339,3:-842,4:5491,5:-5848,6:3949,7:21521
P|dos_language_models_need|k|48|8|0:15953,1:-4176,2:-17720,3:4214,4:-11588,5:10318,6:2097,7:-16395
P|dos_language_models_need|v|48|8|0:12582,1:1030,2:20,3:2007,4:-137,5:-2171,6:8791,7:8865
P|dos_language_models_need|attn|48|8|0:-2771,1:2089,2:9420,3:568,4:5751,5:-11879,6:1224,7:3295
P|dos_language_models_need|proj|48|8|0:8070,1:2147,2:10913,3:-11750,4:2801,5:-2950,6:-13123,7:-8676
P|dos_language_models_need|ln2|48|8|0:488,1:966,2:-2705,3:-5181,4:-6004,5:10219,6:-3320,7:3709
P|dos_language_models_need|ff1|192|8|0:270,1:-44,2:-207,3:-442,4:-627,5:9942,6:12931,7:4011
P|dos_language_models_need|ff2|48|8|0:6129,1:-3127,2:8404,3:-606,4:12075,5:-17099,6:5218,7:13737
P|dos_language_models_need|hidden|48|8|0:7189,1:-1647,2:6519,3:-7700,4:6037,5:-3321,6:518,7:18386
P|dos_language_models_need|final_ln|48|8|0:4611,1:-3667,2:2435,3:-3312,4:1831,5:-4346,6:-20,7:15854
P|dos_language_models_need|logits|258|8|117:51719,46:42370,34:38350,48:37632,47:27651,60:26708,105:26360,102:24845
