# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# tokenizer=lexicon vocab=384 merges=0
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|18|89,106,99,118,34,111,99,109,103,117,379,34,116,103,99,110,286,65|8|269:82861,34:73012,348:58490,372:57041,276:56853,303:54295,321:51471,340:48659
P|what_makes_this_real_inf|embedding|48|8|0:6397,1:5573,2:1927,3:83,4:-4250,5:2240,6:-6067,7:7237
P|what_makes_this_real_inf|ln1|48|8|0:7990,1:3886,2:-4599,3:-10592,4:-516,5:6228,6:3735,7:5899
P|what_makes_this_real_inf|q|48|8|0:11305,1:-2808,2:-8799,3:-2609,4:-618,5:-7281,6:-2547,7:6922
P|what_makes_this_real_inf|k|48|8|0:-7153,1:12154,2:8147,3:18465,4:7941,5:1502,6:-12611,7:-12792
P|what_makes_this_real_inf|v|48|8|0:11979,1:6190,2:-3000,3:7188,4:-5747,5:20074,6:3449,7:108
P|what_makes_this_real_inf|attn|48|8|0:-812,1:-165,2:1783,3:2113,4:2596,5:5700,6:-974,7:-3511
P|what_makes_this_real_inf|proj|48|8|0:-11658,1:-1290,2:829,3:-1039,4:1762,5:-4621,6:-9403,7:-3685
P|what_makes_this_real_inf|ln2|48|8|0:3231,1:4208,2:-6013,3:-15335,4:494,5:5444,6:-2260,7:5358
P|what_makes_this_real_inf|ff1|192|8|0:0,1:0,2:-162,3:-496,4:0,5:0,6:11195,7:10504
P|what_makes_this_real_inf|ff2|48|8|0:7522,1:-563,2:8964,3:12709,4:-1556,5:-9296,6:5668,7:-3214
P|what_makes_this_real_inf|hidden|48|8|0:11905,1:5311,2:3425,3:-4194,4:-79,5:-2041,6:4269,7:4304
P|what_makes_this_real_inf|final_ln|48|8|0:14485,1:5179,2:1332,3:-6463,4:-3115,5:-2715,6:5132,7:2618
P|what_makes_this_real_inf|logits|384|8|269:82861,34:73012,348:58490,372:57041,276:56853,303:54295,321:51471,340:48659
V|gpt2_basic_on_a_486|14|73,82,86,52,335,34,113,112,34,99,34,54,58,56|8|284:61633,260:59886,34:59485,354:50117,47:49339,65:48456,48:38113,85:37173
P|gpt2_basic_on_a_486|embedding|48|8|0:1486,1:12202,2:4784,3:981,4:-10456,5:187,6:-1719,7:1604
P|gpt2_basic_on_a_486|ln1|48|8|0:11317,1:-207,2:-3217,3:1379,4:-6578,5:3417,6:4798,7:10099
P|gpt2_basic_on_a_486|q|48|8|0:6548,1:-706,2:-5720,3:-8753,4:-17035,5:-7280,6:-1674,7:8696
P|gpt2_basic_on_a_486|k|48|8|0:-15121,1:10554,2:9061,3:9179,4:4316,5:9702,6:-13982,7:-18145
P|gpt2_basic_on_a_486|v|48|8|0:725,1:-1693,2:-323,3:3162,4:-1582,5:-330,6:-2305,7:-266
P|gpt2_basic_on_a_486|attn|48|8|0:-322,1:-360,2:931,3:969,4:-2064,5:-472,6:-2198,7:1681
P|gpt2_basic_on_a_486|proj|48|8|0:-13559,1:930,2:570,3:1463,4:4610,5:-558,6:-10721,7:-4845
P|gpt2_basic_on_a_486|ln2|48|8|0:8812,1:-111,2:-4720,3:3625,4:-8774,5:5604,6:-1060,7:12197
P|gpt2_basic_on_a_486|ff1|192|8|0:0,1:540,2:0,3:-691,4:0,5:7902,6:-614,7:-505
P|gpt2_basic_on_a_486|ff2|48|8|0:-4918,1:3863,2:7464,3:2007,4:6847,5:-8340,6:7775,7:-8134
P|gpt2_basic_on_a_486|hidden|48|8|0:5602,1:5237,2:4065,3:7188,4:-1079,5:-994,6:8150,7:6756
P|gpt2_basic_on_a_486|final_ln|48|8|0:5975,1:4069,2:1238,3:9282,4:-4938,5:-2043,6:9000,7:4959
P|gpt2_basic_on_a_486|logits|384|8|284:61633,260:59886,34:59485,354:50117,47:49339,65:48456,48:38113,85:37173
V|dos_language_models_need|19|70,81,85,34,110,99,112,105,119,99,105,103,275,117,34,112,103,103,102|8|117:60858,119:56355,107:47121,34:46796,47:40543,102:39976,105:36769,362:33554
P|dos_language_models_need|embedding|48|8|0:1075,1:-5249,2:10337,3:1804,4:4499,5:6189,6:-4043,7:-884
P|dos_language_models_need|ln1|48|8|0:5904,1:2384,2:-2157,3:-4166,4:2024,5:6269,6:-355,7:9
P|dos_language_models_need|q|48|8|0:25100,1:3995,2:1781,3:-7886,4:-10885,5:-5325,6:3881,7:-3766
P|dos_language_models_need|k|48|8|0:-14707,1:13510,2:3491,3:11869,4:7769,5:7176,6:-8568,7:-5758
P|dos_language_models_need|v|48|8|0:-1024,1:-2388,2:562,3:2827,4:-4198,5:9748,6:3266,7:-536
P|dos_language_models_need|attn|48|8|0:-3706,1:865,2:1351,3:2558,4:-1269,5:4469,6:1507,7:2260
P|dos_language_models_need|proj|48|8|0:-15858,1:-1796,2:1145,3:7265,4:5381,5:-1226,6:-8192,7:-770
P|dos_language_models_need|ln2|48|8|0:-3749,1:1748,2:-2788,3:68,4:9350,5:10565,6:-9604,7:-697
P|dos_language_models_need|ff1|192|8|0:0,1:0,2:0,3:-104,4:0,5:7188,6:0,7:4434
