# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# tokenizer=lexicon vocab=4096 merges=0
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|7|89,106,99,118,2061,281,65|8|259:77220,911:69861,345:53835,281:52927,450:49909,783:47289,1843:46213,808:46074
P|what_makes_this_real_inf|embedding|48|8|0:2641,1:6956,2:2903,3:8313,4:3997,5:-469,6:-6643,7:4083
P|what_makes_this_real_inf|ln1|48|8|0:1759,1:1300,2:1910,3:4622,4:-4250,5:1003,6:1078,7:324
P|what_makes_this_real_inf|q|48|8|0:-1535,1:-2437,2:10021,3:7880,4:4371,5:-3043,6:-2311,7:733
P|what_makes_this_real_inf|k|48|8|0:16682,1:-6972,2:-7574,3:-4302,4:-17593,5:-10348,6:9727,7:-87
P|what_makes_this_real_inf|v|48|8|0:-6394,1:-6907,2:2510,3:4906,4:10697,5:7170,6:-5301,7:6323
P|what_makes_this_real_inf|attn|48|8|0:-4074,1:-6779,2:2088,3:-715,4:1618,5:2515,6:-6388,7:854
P|what_makes_this_real_inf|proj|48|8|0:-5320,1:2812,2:-6157,3:-396,4:-6743,5:-3390,6:-3375,7:949
P|what_makes_this_real_inf|ln2|48|8|0:-1634,1:4433,2:-3006,3:4812,4:-11667,5:-2579,6:-1410,7:522
P|what_makes_this_real_inf|ff1|192|8|0:-696,1:-474,2:2327,3:-101,4:14396,5:7374,6:0,7:0
P|what_makes_this_real_inf|ff2|48|8|0:659,1:-3368,2:3521,3:1009,4:7548,5:-8373,6:-1875,7:-5012
P|what_makes_this_real_inf|hidden|48|8|0:50,1:3610,2:1694,3:8324,4:-3851,5:-8853,6:-2577,7:-2001
P|what_makes_this_real_inf|final_ln|48|8|0:966,1:3299,2:3704,3:10676,4:-3695,5:-14588,6:-2039,7:-5156
P|what_makes_this_real_inf|logits|4096|8|259:77220,911:69861,345:53835,281:52927,450:49909,783:47289,1843:46213,808:46074
V|gpt2_basic_on_a_486|6|73,82,86,52,2249,1435|8|259:87166,0:62345,263:57183,1884:54787,270:54067,403:50388,85:49900,663:48588
P|gpt2_basic_on_a_486|embedding|48|8|0:2346,1:7992,2:1055,3:-10188,4:-1908,5:-3411,6:2647,7:-1154
P|gpt2_basic_on_a_486|ln1|48|8|0:5467,1:3832,2:-3093,3:-2241,4:-3679,5:-2793,6:3276,7:2283
P|gpt2_basic_on_a_486|q|48|8|0:-10977,1:303,2:928,3:7259,4:8112,5:-4044,6:-8704,7:-3949
P|gpt2_basic_on_a_486|k|48|8|0:25134,1:-11884,2:-5286,3:-2499,4:-11583,5:4760,6:18171,7:4847
P|gpt2_basic_on_a_486|v|48|8|0:-12696,1:-6535,2:4737,3:4536,4:7547,5:8938,6:3840,7:9235
P|gpt2_basic_on_a_486|attn|48|8|0:-7332,1:-4924,2:4987,3:2583,4:2559,5:4689,6:-2207,7:1779
P|gpt2_basic_on_a_486|proj|48|8|0:-7250,1:289,2:3754,3:-3727,4:-12852,5:-6234,6:-1762,7:387
P|gpt2_basic_on_a_486|ln2|48|8|0:2418,1:6249,2:-1327,3:-6975,4:-17529,5:-10748,6:2719,7:3094
P|gpt2_basic_on_a_486|ff1|192|8|0:1402,1:-599,2:-648,3:0,4:-635,5:-300,6:4131,7:0
P|gpt2_basic_on_a_486|ff2|48|8|0:6141,1:-3447,2:-4169,3:1984,4:10625,5:2265,6:-4778,7:-2889
P|gpt2_basic_on_a_486|hidden|48|8|0:9890,1:5007,2:-4316,3:-3784,4:-6743,5:-6550,6:-203,7:2339
P|gpt2_basic_on_a_486|final_ln|48|8|0:11902,1:4003,2:-6679,3:-4351,4:-8080,5:-12617,6:-482,7:14
