# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# tokenizer=lexicon vocab=4096 merges=0
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|7|89,106,99,118,1913,285,65|8|2888:95404,2245:87827,269:85308,3369:79036,2363:78089,2892:76513,3361:70970,383:68020
P|what_makes_this_real_inf|embedding|48|8|0:4518,1:6879,2:2612,3:10011,4:5811,5:-3620,6:-1886,7:1483
P|what_makes_this_real_inf|ln1|48|8|0:3113,1:-4400,2:4189,3:6835,4:7617,5:-6424,6:4453,7:-5856
P|what_makes_this_real_inf|q|48|8|0:-638,1:4767,2:1762,3:-7599,4:13,5:3288,6:2587,7:2410
P|what_makes_this_real_inf|k|48|8|0:-8697,1:7989,2:-14810,3:-3084,4:10284,5:-9845,6:15764,7:13443
P|what_makes_this_real_inf|v|48|8|0:6834,1:-15094,2:-3694,3:-2275,4:-1719,5:12485,6:-139,7:11930
P|what_makes_this_real_inf|attn|48|8|0:1542,1:-8630,2:-3856,3:96,4:-3358,5:12704,6:-1436,7:10444
P|what_makes_this_real_inf|proj|48|8|0:-12947,1:6491,2:-8152,3:1519,4:-5699,5:14178,6:-2530,7:3855
P|what_makes_this_real_inf|ln2|48|8|0:-5606,1:-135,2:-815,3:7833,4:6111,5:2463,6:2899,7:-5619
P|what_makes_this_real_inf|ff1|192|8|0:0,1:-693,2:-238,3:-705,4:18788,5:-37,6:-473,7:2484
P|what_makes_this_real_inf|ff2|48|8|0:6112,1:-4789,2:3286,3:-1481,4:-1228,5:-965,6:5734,7:4485
P|what_makes_this_real_inf|hidden|48|8|0:-748,1:-3422,2:2664,3:9823,4:6631,5:4024,6:10448,7:-503
P|what_makes_this_real_inf|final_ln|48|8|0:-1454,1:-8215,2:3957,3:12262,4:8633,5:1801,6:10815,7:-4895
