# GPT2-BASIC fixed-point parity vectors
# profile=486sx-safe
# tokenizer=lexicon vocab=4096 merges=0
# format: V|name|context_len|comma_tokens|top_count|token:logit,...
# format: P|name|phase|dim|value_count|index:value,...
V|what_makes_this_real_inf|3|2028,367,65|8|2972:66039,261:61869,1244:61299,818:59864,914:52958,1022:47650,1540:46224,2329:44757
P|what_makes_this_real_inf|embedding|48|8|0:-1136,1:11395,2:-325,3:4831,4:-3590,5:-5117,6:-2772,7:8456
P|what_makes_this_real_inf|ln1|48|8|0:-2981,1:15005,2:609,3:5748,4:1825,5:-4116,6:-3255,7:-1792
P|what_makes_this_real_inf|q|48|8|0:-4640,1:-7178,2:9369,3:2437,4:-2566,5:-6994,6:7071,7:12198
P|what_makes_this_real_inf|k|48|8|0:11180,1:12346,2:-7485,3:-4155,4:16105,5:-5959,6:11070,7:-14935
P|what_makes_this_real_inf|v|48|8|0:-1965,1:-8465,2:3719,3:-6013,4:6943,5:458,6:-9605,7:-1854
P|what_makes_this_real_inf|attn|48|8|0:-1906,1:-7155,2:3294,3:-5944,4:6533,5:857,6:-9405,7:-2566
P|what_makes_this_real_inf|proj|48|8|0:4690,1:-5632,2:7596,3:-2449,4:-3319,5:6243,6:-2105,7:6440
P|what_makes_this_real_inf|ln2|48|8|0:-189,1:13152,2:7852,3:4793,4:-389,5:328,6:-5878,7:3264
P|what_makes_this_real_inf|ff1|192|8|0:-614,1:-625,2:-95,3:-679,4:-439,5:4659,6:95,7:9920
P|what_makes_this_real_inf|ff2|48|8|0:2193,1:-7503,2:-5810,3:-5569,4:-1274,5:1174,6:67,7:-364
P|what_makes_this_real_inf|hidden|48|8|0:3195,1:6971,2:3378,3:-108,4:-733,5:2939,6:-5782,7:4360
P|what_makes_this_real_inf|final_ln|48|8|0:4167,1:9692,2:2317,3:-367,4:-1525,5:1286,6:-8241,7:4133
P|what_makes_this_real_inf|logits|4096|8|2972:66039,261:61869,1244:61299,818:59864,914:52958,1022:47650,1540:46224,2329:44757
V|gpt2_basic_on_a_486|2|3494,1906|8|1312:71711,584:57956,582:46611,532:45498,2858:43990,1209:43765,957:43720,280:43673
P|gpt2_basic_on_a_486|embedding|48|8|0:964,1:13309,2:-171,3:950,4:-5771,5:-7677,6:921,7:2104
P|gpt2_basic_on_a_486|ln1|48|8|0:2928,1:10569,2:1140,3:2031,4:8953,5:-8998,6:2832,7:-1323
P|gpt2_basic_on_a_486|q|48|8|0:-1926,1:-3405,2:1044,3:-335,4:-1560,5:2555,6:3532,7:3729
P|gpt2_basic_on_a_486|k|48|8|0:8137,1:12360,2:-2693,3:-7829,4:12805,5:-6579,6:6418,7:-16799
P|gpt2_basic_on_a_486|v|48|8|0:-5718,1:-1031,2:9172,3:3269,4:-2592,5:1663,6:-4399,7:-6318
P|gpt2_basic_on_a_486|attn|48|8|0:-6778,1:-2705,2:7650,3:2417,4:-636,5:-622,6:-1658,7:-2619
P|gpt2_basic_on_a_486|proj|48|8|0:-3133,1:-7978,2:-249,3:5303,4:-7725,5:3092,6:1643,7:7338
P|gpt2_basic_on_a_486|ln2|48|8|0:844,1:7368,2:1047,3:7166,4:5800,5:-9414,6:4869,7:3609
P|gpt2_basic_on_a_486|ff1|192|8|0:1542,1:-512,2:4813,3:-637,4:-115,5:4110,6:-213,7:-485
P|gpt2_basic_on_a_486|ff2|48|8|0:-6228,1:4907,2:629,3:-2514,4:-8096,5:3623,6:3581,7:461
P|gpt2_basic_on_a_486|hidden|48|8|0:-5195,1:12949,2:1427,3:5187,4:-1609,5:-8507,6:9350,7:4819
P|gpt2_basic_on_a_486|final_ln|48|8|0:-4017,1:15971,2:1153,3:8177,4:-64,5:-10361,6:12269,7:5359
P|gpt2_basic_on_a_486|logits|4096|8|1312:71711,584:57956,582:46611,532:45498,2858:43990,1209:43765,957:43720,280:43673
V|dos_language_models_need|5|70,81,85,1954,557|8|3702:50157,110:47529,336:46395,1611:45182,333:44974,601:44772,2811:44550,259:44368
P|dos_language_models_need|embedding|48|8|0:4025,1:-1178,2:-7961,3:-1113,4:-6064,5:156,6:4931,7:-4897
P|dos_language_models_need|ln1|48|8|0:5997,1:5321,2:-2048,3:1507,4:2482,5:-3812,6:-2352,7:-4100
P|dos_language_models_need|q|48|8|0:-6828,1:-9633,2:-2302,3:-3263,4:-19430,5:-3861,6:663,7:8538
P|dos_language_models_need|k|48|8|0:9296,1:12649,2:-1779,3:-4214,4:5938,5:-991,6:7779,7:-22795
P|dos_language_models_need|v|48|8|0:8373,1:7068,2:-928,3:2460,4:13165,5:3389,6:-4818,7:-7635
P|dos_language_models_need|attn|48|8|0:4669,1:6134,2:402,3:2204,4:11547,5:3353,6:-5041,7:-4195
P|dos_language_models_need|proj|48|8|0:-2404,1:1958,2:-7061,3:3322,4:-2327,5:4504,6:-2709,7:4755
P|dos_language_models_need|ln2|48|8|0:2361,1:6282,2:-8672,3:4556,4:-155,5:304,6:-4745,7:338
P|dos_language_models_need|ff1|192|8|0:-491,1:6824,2:-222,3:3728,4:-432,5:2582,6:4564,7:3362
P|dos_language_models_need|ff2|48|8|0:746,1:2976,2:-253,3:-4643,4:-5778,5:-4779,6:-2915,7:3776
P|dos_language_models_need|hidden|48|8|0:3596,1:9242,2:-9370,3:-434,4:-5872,5:-3946,6:-8228,7:4215
P|dos_language_models_need|final_ln|48|8|0:6121,1:13800,2:-13521,3:983,4:-6832,5:-6723,6:-9318,7:5312
P|dos_language_models_need|logits|4096|8|3702:50157,110:47529,336:46395,1611:45182,333:44974,601:44772,2811:44550,259:44368
