# bucket|entries|file|bytes
# Generated by scripts/build_assistant_kdb.py from KDB.TXT.
A|22|KB2A.BIN|9216
B|7|KB2B.BIN|2976
C|28|KB2C.BIN|11712
D|16|KB2D.BIN|6720
E|5|KB2E.BIN|2144
F|12|KB2F.BIN|5056
G|5|KB2G.BIN|2144
H|16|KB2H.BIN|6720
I|11|KB2I.BIN|4640
J|1|KB2J.BIN|480
K|3|KB2K.BIN|1312
L|18|KB2L.BIN|7552
M|23|KB2M.BIN|9632
N|8|KB2N.BIN|3392
O|18|KB2O.BIN|7552
P|20|KB2P.BIN|8384
Q|3|KB2Q.BIN|1312
R|16|KB2R.BIN|6720
S|25|KB2S.BIN|10464
T|28|KB2T.BIN|11712
U|5|KB2U.BIN|2144
V|1|KB2V.BIN|480
W|11|KB2W.BIN|4640
