# term|row_ids
# Generated KB2 term index. Rebuild with scripts/build_assistant_kdb.py --write.
8.3|4,10
assembly|20
assistant|5
autoexec|3,17
autoexec.bat|3,7,17
back|22
baseline|2
basic|26
bat|17
batch|4,10,11,14,19,22,24
before|11,12,14,17,21
beside|6,9,18
boot|7
branch|24
buffers|1,2,16
build|26
bundle|13,19
capture|12,21
change|19
changes|5
check|14
checklist|12
checkpoint|5
checks|4
checksum|25
checksums|22,25
choices|24
clear|4,14
command|15,18
commands|3,7
compare|22,25
compatibility|10,16
compile|21,26
config|2,16
config.sys|1,2,3,7,16,17
conventional|1,8,23
copied|21
copy|11,18,22
copy-back|12
cwsdpmi|11,18,26
cwsdpmi.exe|6,9,18
desired|19
device|7
directories|15
directory|19
disk|20
dos|1,2,6,7,8,10,11,16,22,23,25,26
dos-compatible|4
dosbox|13,19
dpmi|6,9
drivers|3,7,8,17,23
emulator|21
error|23
evidence|21
example|2
executable|26
exist|4,14
fails|18
fat|20
file|4,19,25
filenames|10
files|1,2,4,10,11,14,16,20,21
first|1,3,7
free|23
freebasic|26
full|20
gpt2|11,19
grow|20
hardware|11,12,13,22
help|4
high|1,2,8,16,23
himem|1,2
himem.sys|16
host|6,9,25
host-only|20
hygiene|3
image|20
input|24
keep|1,3,8,9,15,24,26
large|14
let|5
line|15
lines|14
load|1
loading|23
loads|3,7,17
local|13
logs|21,22
low|8
machines|13
maximum|10
memory|1,8,23
menu|24
messages|4
missing|18
model|4,5,11
modest|1,16
mount|19
names|4,10
need|6,9
needed|15
numbered|24
offer|24
old|8
only|15
order|7
out|20
output|26
pack|5
pack-local|5
packs|5,11
path|3,12,15,17,22
paths|5,7
physical|12
pinned|26
point|5
predictable|10
preserve|1,8
print|14
profile|19,23
program|6,15,18
programs|6,8,9
protected-mode|6,9,18
put|15
qemu|12,21
quick|13
real|11,13,22
rehearsal|12
remove|20
required|17
rerun|18
resident|3
result|21
return.txt|22
reversible|24
run|12,19,21,22
running|14
runs|3,7,13,20
safe|2
safety|14
same|22
sets|7,17
setup|9,15
sha-256|25
short|3,15,24
sidecars|25
sizes|25
smaller|23
space|20
start|18
status|4,14
step|14
such|6
switch|5
sys|2,16
tested|12
testing|11
together|11
tool|25
toolchain|26
tools|3,17
training|20
transfer|13
trim|3,8
trusting|21
tsr|8,17
tsrs|23
tuning|16,17
umb|1,2,16
unavailable|25
unloading|23
using|23
validate|24
validation|22
values|16
variables|17
