# term|row_ids
# Generated KB2 term index. Rebuild with scripts/build_assistant_kdb.py --write.
acknowledge|26
action|3,4,5,6,7,8,11,14,15,26
actions|4,16
actual|10
add|12,22
added|27
alternatives|23
answer|12,22
any|9
area|10
artifact|6
avoid|13,26
background|5
behavior|10
blocker|7,8
body|3
budget|21
bug|10
bullet|27
capture|16
cases|25
cells|20
changed|9,27
changelog|27
changes|27
check|20
checked|21
checklist|14
checkpoint|17
checksum|6
claims|2,13
clarify|6
clarity|6
cleanup|19
clearer|1
commas|19
concrete|2,6
considered|23
context|12
copy|19
cost|21
criteria|25
csv|19
current|7,8,26
customer|26
date|18,21
dates|4,16,19
decision|11,23
decisions|4,16
define|25
details|6
direct|2,7,12,22
docs|24
done|15
dropping|4
due|21
duplicate|5
email|12,22
end|7
entry|27
errors|20
evidence|11,15,23,25
exact|24
executive|11
expected|8,10,20,24,25
explanation|4
explicit|3
facts|13
factual|27
fail|25
fields|19
files|25
filler|2,13
first|12
fixed|27
follow-up|16
formal|3
formula|20
free|2
give|11,26
goal|17,24
group|27
handoff|15
happened|6
has|1
headers|19
impact|18
include|7,10
independently|14
input|20
intent|5
issue|26
item|14,21
jokes|2
keep|2,5,6,13,19,22,27
known|9,27
lead|9
likelihood|18
limits|9,27
line|3
list|9,17
lives|15
logs|10
low-value|5
make|14
matters|6
meeting|16
memo|3,23
message|2
milestones|17
mitigation|18
more|1
names|4
next|3,6,7,8,12,15,17,22,26
normalize|19
note|9,15,24
notes|16
one|20,22
one-sentence|3
open|16
original|5
overpromising|26
owner|18,21,23
owners|16,17
owns|15
paragraphs|3,11
pass|25
phrases|5
plainly|9
plan|17,25
polite|2,7,13,22
prerequisites|24
preserve|4,13,19
professional|1,2
project|17
proof|9
prose|1
purpose|3
qualifiers|5
question|12
questions|16
quickly|21
quote|19
reason|22
recommendation|23
record|18
register|18
release|9
remains|15
remove|5,13
repeated|4
reply|12,26
report|10
reproduction|10
requested|4,11
result|8,20,24
results|25
review|18
rewrite|1,13
risk|11,18
risks|17,18,23
rules|13
say|15
scope|25
selected|1
shape|8,9,10
short|3,11,14
shorten|5
shortening|5
shorter|1
show|21
source|19
spreadsheet|20
stable|19
start|22
state|6,8,9,20,22,23,26
status|7,8,21,26
step|22
steps|10,12,24
subject|3
summar|4
summaries|4
summary|4,11
suspected|10
table|21
tag|6
task|24
test|6,25
testable|14
text|1
timing|7,8
tone|2,13,22
totals|21
track|18
troubleshooting|24
unsupported|2,13
untouched|19
update|7,8
user|1,24
verbs|14
version|1
wants|1
while|4
who|15
wording|7
write|24
writing|14
