# term|row_ids
# Generated KB2 term index. Rebuild with scripts/build_assistant_kdb.py --write.
add|3
adding|6
answer|2
answering|11
answers|1,3
are|3
arithmetic|4
arrays|4,10
ask|2
assembly|10
assistant|10
basic|4,10
because|4
before|6,11
behavior|5
budgets|7
bytes|11
calculator|10
captures|8
compact|11
concise|2
context|7
contract|10
deterministic|6
domain|5
educational|6
eshkol|10
exist|10
facts|3
fewer|11
files|4,8,10
first|2
generated|1
generation|6
gives|2
hardware|8
hot|5
indexed|11
inspectable|4
integer|4,7
intelligence|1,2,3,4,9
interface|7
kb2|1
latency|7
length|7
limits|3
load|5
loading|5
local|1,2,3,8,9
logs|8
loops|10
machine|4,11
machine-specific|3
machines|9,11
make|4
meaning|9
means|9
mechanism|4
memory|9
microprocessor|7
model|9
need|7
needs|8
network|9
neural|6
notes|1
offline|3
old|8,9
one|2
operations|7
overview|1
pack|2
plain|4
portable|1,2,3,9
ports|6,10
processors|11
proof|8
qemu|8
question|2
ram|7
rebuilding|5
recall|1,2,11
reimplemented|10
repeatable|8
replies|6
resident|5
retrieval|6,9
rows|11
run|9
runtime|5,10
same|10
scan|11
searches|2
shell|5
short|2
slow|11
small|6,9
source|8
start|6
storage|7
store|11
strict|7
swappable|5
targets|7
teaching|4
tests|8
tiny|5,11
useful|4
user.txt|1,3
using|2
visible|8
weight|5
weights|5,9
whole|5
without|5,9
